run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
443,dense,dot-buffer,38.336,0.142,16.754,3.462,0.002,17.977,pack,33554432,0,,,,
444,minimal,dot-buffer,13.104,0.174,0.000,0.045,0.001,12.885,pack,33554432,0,,,,
445,barcode-small,dot-buffer,33.405,0.138,16.417,1.936,0.001,14.913,encode,33554432,0,,,,
446,baseline-50x30,dot-buffer,37.375,0.146,15.690,2.995,0.001,18.543,pack,33554432,0,,,,
447,text-heavy,dot-buffer,32.636,0.161,0.000,9.878,0.001,22.595,pack,33554432,0,,,,
448,dense,dot-buffer,37.479,0.152,16.572,2.725,0.002,18.029,pack,33554432,0,,,,
449,minimal,dot-buffer,13.407,0.178,0.000,0.049,0.001,13.180,pack,33554432,0,,,,
450,barcode-small,dot-buffer,34.270,0.152,17.106,1.949,0.001,15.062,encode,33554432,0,,,,
451,baseline-50x30,dot-buffer,37.005,0.209,15.095,3.137,0.001,18.563,pack,33554432,0,,,,
452,text-heavy,dot-buffer,32.671,0.151,0.000,9.954,0.001,22.565,pack,33554432,0,,,,
453,dense,dot-buffer,38.381,1.952,14.935,2.820,0.001,18.673,pack,33554432,0,,,,
454,minimal,dot-buffer,12.971,0.192,0.000,0.053,0.001,12.725,pack,33554432,0,,,,
455,barcode-small,dot-buffer,34.457,0.177,17.489,1.907,0.002,14.882,encode,33554432,0,,,,
456,baseline-50x30,dot-buffer,36.755,0.151,14.921,3.063,0.001,18.619,pack,33554432,0,,,,
457,text-heavy,dot-buffer,35.237,0.149,0.000,12.426,0.001,22.660,pack,33554432,0,,,,
458,dense,dot-buffer,36.119,0.166,14.938,2.955,0.001,18.059,pack,33554432,0,,,,
459,minimal,dot-buffer,13.299,0.155,0.000,0.051,0.001,13.092,pack,33554432,0,,,,
460,barcode-small,dot-buffer,33.400,0.151,16.369,1.916,0.002,14.962,encode,33554432,0,,,,
461,baseline-50x30,dot-buffer,37.277,0.237,15.421,3.007,0.001,18.612,pack,33554432,0,,,,
462,text-heavy,dot-buffer,34.201,1.848,0.000,9.901,0.001,22.451,pack,33554432,0,,,,
463,dense,dot-buffer,36.061,0.145,14.954,2.778,0.001,18.182,pack,33554432,0,,,,
464,minimal,dot-buffer,13.349,0.180,0.000,0.046,0.001,13.122,pack,33554432,0,,,,
465,barcode-small,dot-buffer,33.545,0.150,16.650,1.979,0.001,14.764,encode,33554432,0,,,,
